,unixtimestap,open,high,low,close,vwap,volume,count
455,1659571200.0,32999.6,33441.9,32053.4,32577.4,33052.5,23.15617763,595.0
456,1659657600.0,32535.8,33756.8,32535.8,33533.1,33176.1,10.97529955,404.0
457,1659744000.0,33718.9,33809.2,33434.6,33434.6,33637.7,3.27672701,211.0
458,1659830400.0,33227.7,33897.3,33165.6,33612.9,33488.8,7.60778317,397.0
459,1659916800.0,33610.9,34794.5,33524.1,34070.1,34346.9,16.99867605,452.0
460,1660003200.0,34040.0,34335.7,33000.0,33281.1,33664.9,13.42714736,388.0
461,1660089600.0,33296.4,34398.2,32666.9,33847.9,33488.4,22.24613732,569.0
462,1660176000.0,33944.2,35191.9,33666.4,33812.4,34467.4,21.61718181,540.0
463,1660262400.0,33751.9,34412.8,33500.0,34350.0,33844.7,13.69412916,422.0
464,1660348800.0,34359.6,34895.0,34082.2,34268.3,34430.6,8.88882545,352.0
465,1660435200.0,34321.9,35241.5,34100.0,34321.2,34643.6,8.41641869,435.0
466,1660521600.0,34284.8,35500.0,33900.0,34440.8,34495.4,23.47336693,905.0
467,1660608000.0,34433.3,34633.5,33895.6,34039.7,34182.9,16.8297298,643.0
468,1660694400.0,34007.5,35000.0,33550.8,33655.6,34224.7,27.78180787,787.0
469,1660780800.0,33748.1,34046.3,33600.0,33622.2,33884.9,12.20126347,490.0
470,1660867200.0,33600.0,33600.0,28943.9,30393.8,31907.7,29.2203424,782.0
471,1660953600.0,30507.5,31205.9,30392.8,30823.6,30880.8,8.56456591,308.0
472,1661040000.0,30808.2,31696.2,30690.1,31322.3,31186.8,5.02311348,259.0
473,1661126400.0,31372.6,31401.5,30326.2,31151.0,31028.5,22.1056221,418.0
474,1661212800.0,31136.6,31325.0,30525.5,31134.7,30999.3,18.1570709,527.0
475,1661299200.0,31108.8,31567.7,30678.8,30988.7,31167.1,23.36395128,663.0
476,1661385600.0,30988.7,31288.2,30823.7,31020.1,31022.4,13.35870535,426.0
477,1661472000.0,31020.1,31269.9,29209.8,29280.8,30627.9,16.96028565,780.0
478,1661558400.0,29359.6,29598.3,28693.0,29186.5,29261.9,6.20574543,352.0
479,1661644800.0,29127.6,29388.8,28600.0,28600.0,29154.0,5.97481699,617.0
480,1661731200.0,28666.8,29517.7,28519.7,29505.5,29039.2,20.95235716,864.0
481,1661817600.0,29442.5,29834.4,28694.6,28940.7,29281.7,15.15886035,543.0
482,1661904000.0,29008.4,29789.4,29008.4,29412.5,29530.4,14.53209656,521.0
483,1661990400.0,29358.7,29667.8,28932.2,29667.8,29402.0,11.99374387,429.0
484,1662076800.0,29606.9,29910.8,29099.9,29314.8,29667.1,15.06895964,493.0
485,1662163200.0,29314.9,29502.8,29000.0,29192.2,29236.8,3.56741788,286.0
486,1662249600.0,29224.0,29511.6,28859.6,29503.7,29217.0,7.6663954,489.0
487,1662336000.0,29542.2,29588.7,29000.0,29097.1,29195.6,7.56540547,389.0
488,1662422400.0,29112.7,29589.3,27897.4,27977.5,28910.0,12.53214522,564.0
489,1662508800.0,27992.9,28733.4,27751.5,28628.4,28172.6,10.63401354,496.0
490,1662595200.0,28741.4,28856.8,28352.3,28597.2,28637.9,11.31134494,425.0
491,1662681600.0,28594.4,31360.2,28486.1,31247.1,30020.8,12.04398013,700.0
492,1662768000.0,31128.7,31878.3,30953.5,31721.2,31376.8,4.52580945,407.0
493,1662854400.0,31701.4,31902.7,31287.2,31902.7,31680.8,8.53659996,533.0
494,1662940800.0,31809.0,32682.7,31615.2,32524.0,32132.6,14.21266657,451.0
495,1663027200.0,32554.6,33023.4,29683.8,30025.9,32050.4,15.84476878,722.0
496,1663113600.0,29906.0,30457.6,29138.3,30053.1,30118.8,10.10127555,466.0
497,1663200000.0,30046.0,30093.0,29055.6,29500.0,29839.9,8.6890936,491.0
498,1663286400.0,29560.4,29750.0,29000.0,29508.7,29532.7,19.67421762,556.0
499,1663372800.0,29517.3,30036.8,29517.3,30027.4,29662.0,6.88144481,326.0
500,1663459200.0,29876.6,29975.2,28890.2,28890.2,29500.4,4.22695201,265.0
501,1663545600.0,28904.1,29309.7,27499.9,29121.2,28226.7,24.12906193,834.0
502,1663632000.0,29108.5,29167.8,28117.8,28269.0,28728.1,9.16862305,475.0
503,1663718400.0,28220.3,30247.7,27519.7,28020.9,28558.1,16.09154073,702.0
504,1663804800.0,27956.8,29349.5,27924.7,29216.8,28535.3,18.72009813,494.0
505,1663891200.0,29233.3,29747.6,28332.0,29610.0,29069.0,14.03131894,482.0
